Wall time,Step,Value
1658850291.174931,0,-95.88402557373047
1658850304.550091,1,-70.15919494628906
1658850322.824248,2,-34.667171478271484
1658850343.537195,3,-42.69188690185547
1658850363.0544262,4,-30.737241744995117
1658850382.949536,5,-35.38545608520508
1658850402.8207319,6,-33.3504753112793
1658850595.385563,7,-26.419328689575195
1658850614.473242,8,-16.15367889404297
1658850635.3674939,9,-11.803753852844238
1658850654.47754,10,-2.688241958618164
1658850673.778371,11,-11.487253189086914
1658850692.949381,12,-14.752699851989746
1658850712.576468,13,-5.844386577606201
1658850732.200238,14,-1.316296100616455
1658851022.76949,15,1.319333791732788
1658851041.088438,16,4.696775913238525
1658851060.211636,17,5.171349048614502
1658851077.855237,18,4.363415718078613
1658851101.179795,19,11.637100219726562
1658851135.4714172,20,17.059911727905273
1658851170.937116,21,24.324617385864258
1658851204.4164212,22,32.56244659423828
1658851579.452366,23,35.83613204956055
1658851613.81993,24,37.13376998901367
1658851659.674036,25,39.403377532958984
1658851707.61266,26,46.386863708496094
1658851748.036659,27,55.100467681884766
1658851786.2406678,28,58.341495513916016
1658851823.722302,29,63.00572967529297
1658851857.795049,30,64.8697280883789
1658852206.5577338,31,69.04280090332031
1658852244.3716888,32,69.8248291015625
1658852279.814316,33,69.44894409179688
1658852314.161806,34,75.98307037353516
1658852349.068256,35,77.70730590820312
1658852383.903284,36,78.65715789794922
1658852417.065978,37,82.52740478515625
1658852450.9270558,38,87.18977355957031
1658852776.1768398,39,85.80950927734375
1658852811.994271,40,90.48634338378906
1658852847.2531478,41,90.14132690429688
1658852880.409903,42,89.04666137695312
1658852914.624955,43,89.10859680175781
1658852948.5000918,44,88.68486022949219
1658852984.833697,45,90.84024047851562
1658853315.9931688,46,93.45687866210938
1658853352.040813,47,95.49163818359375
1658853387.860835,48,96.22721862792969
1658853426.390707,49,94.50582122802734
1658853466.02498,50,97.16458892822266
1658853504.979625,51,98.52690124511719
1658853542.1405828,52,98.22209930419922
1658853578.262979,53,97.83739471435547
1658853893.105411,54,96.00470733642578
1658853937.564207,55,97.17725372314453
1658853982.523155,56,96.11091613769531
1658854023.007252,57,95.9292221069336
1658854064.103173,58,96.72411346435547
1658854105.708179,59,98.03650665283203
1658854148.025297,60,95.81481170654297
1658854192.7279942,61,95.24447631835938
1658854550.285907,62,93.63185119628906
1658854588.995829,63,93.47545623779297
1658854630.791138,64,92.74315643310547
1658854671.722807,65,93.40461730957031
1658854717.350013,66,91.71224212646484
1658854753.088782,67,90.97136688232422
1658854788.4670541,68,92.05374145507812
1658854831.04093,69,91.924072265625
1658855194.9178271,70,91.45709228515625
1658855235.7907672,71,91.17617797851562
1658855275.9459672,72,90.60839080810547
1658855318.766628,73,90.74726867675781
1658855358.1406798,74,91.48721313476562
1658855398.946801,75,91.9012451171875
1658855438.2021172,76,93.58929443359375
1658855474.24168,77,93.84426879882812
1658855945.934468,78,94.40836334228516
1658856007.4479518,79,94.2968978881836
1658856046.6488378,80,94.25801849365234
1658856086.011351,81,93.6303939819336
1658856126.2444851,82,92.74092864990234
1658856218.818327,83,93.15864562988281
1658856270.90134,84,92.736572265625
1658856717.7155159,85,94.2519302368164
1658856788.224816,86,95.90222930908203
1658856844.828032,87,95.11871337890625
1658856906.7250528,88,96.51053619384766
1658856969.970439,89,94.98408508300781
1658857037.039959,90,96.82308959960938
1658857100.6735349,91,97.54953002929688
1658857130.229447,92,98.10596466064453
1658857337.6551309,93,98.43514251708984
